City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,weno,7.4515,151.8468,82.0,75,100,5.23,FM,1686240654
210,kouango,4.9934,19.9619,73.18,94,100,3.78,CF,1686240654
211,kaitong,44.8135,123.15,59.27,56,75,6.26,CN,1686240654
212,riachao do jacuipe,-11.8069,-39.3856,82.4,58,97,8.61,BR,1686240494
213,belmonte,-15.8631,-38.8828,76.71,80,36,10.87,BR,1686240654
214,saeby,57.3319,10.5225,71.96,56,37,3.74,DK,1686240654
215,prainha,-1.8,-53.48,85.69,65,16,5.23,BR,1686240654
216,foumban,5.7291,10.9001,71.28,90,79,0.87,CM,1686240654
217,trairi,-3.2778,-39.2689,85.78,64,37,13.0,BR,1686240595
218,tokar,18.4254,37.729,99.66,22,4,7.74,SD,1686240654
219,port said,31.2565,32.2841,77.43,73,79,12.55,EG,1686240654
220,bardai,11.65,7.2333,85.33,53,94,5.91,NG,1686240655
221,nuku'alofa,-21.1333,-175.2,70.14,94,75,3.44,TO,1686240655
222,rock springs,41.5875,-109.2029,64.04,59,0,3.44,US,1686240655
223,inarajan village,13.2736,144.7484,82.54,83,100,8.3,GU,1686240655
224,pangody,65.85,74.4859,44.85,55,99,13.94,RU,1686240655
225,charlottetown,46.2352,-63.1267,58.77,59,89,5.99,CA,1686240537
226,axim,4.8699,-2.2405,78.67,85,99,12.39,GH,1686240655
227,falenki,58.3613,51.5946,52.09,76,72,5.88,RU,1686240655
228,kone,-21.0595,164.8658,62.06,79,0,3.31,NC,1686240655
229,ghat,24.9647,10.1728,102.63,10,1,8.37,LY,1686240655
230,comodoro rivadavia,-45.8667,-67.5,66.06,42,20,35.68,AR,1686240656
231,louis trichardt,-23.0439,29.9032,68.95,32,4,3.85,ZA,1686240656
232,al kharijah,25.4514,30.5464,106.74,11,37,9.6,EG,1686240656
233,qarqaraly,49.4058,75.4742,63.43,79,52,6.08,KZ,1686240656
234,mamers,48.3333,0.25,83.26,43,79,9.75,FR,1686240656
235,i-n-salah,27.1935,2.4607,106.12,10,0,11.99,DZ,1686240656
236,waddan,29.1614,16.139,88.47,21,69,14.32,LY,1686240656
237,tekman,39.6436,41.5078,67.91,60,57,2.28,TR,1686240656
238,codrington,-38.2667,141.9667,48.74,83,99,17.87,AU,1686240657
239,tabou,4.423,-7.3528,80.74,84,100,9.82,CI,1686240657
240,brezova pod bradlom,48.6635,17.539,74.28,70,79,2.77,SK,1686240657
241,yuzhno-kurilsk,44.0306,145.8556,51.1,99,99,5.97,RU,1686240657
242,hasaki,35.7333,140.8333,70.21,88,100,15.08,JP,1686240657
243,chu,43.5983,73.7614,82.89,17,7,8.1,KZ,1686240657
244,wynyard,-41.0,145.7167,47.98,93,93,15.86,AU,1686240657
245,gamay,12.3854,125.2979,77.81,92,100,4.99,PH,1686240657
246,ribeira brava,32.65,-17.0667,75.13,74,3,14.97,PT,1686240657
247,simpang,-1.2667,104.0833,74.91,98,65,3.18,ID,1686240658
248,luderitz,-26.6481,15.1594,59.86,75,12,4.76,NA,1686240658
249,kuanda,56.3161,116.0806,46.2,76,24,2.28,RU,1686240658
250,tyrnyauz,43.3828,42.9183,59.22,90,79,2.53,RU,1686240658
251,bandar lampung,-5.4254,105.258,74.75,93,100,1.07,ID,1686240658
252,sinabang,2.4803,96.3801,81.03,75,75,2.59,ID,1686240658
253,calvinia,-31.4707,19.776,49.05,84,100,14.63,ZA,1686240658
254,hammerfest,70.6634,23.6821,41.45,70,75,10.36,NO,1686240658
255,darwin,-12.4611,130.8418,78.78,89,99,2.3,AU,1686240658
256,bereznik,62.8551,42.7072,54.32,65,99,6.93,RU,1686240658
257,puerto santa,-8.9906,-78.6456,75.78,77,76,8.57,PE,1686240659
258,ha'il,27.5219,41.6907,89.51,11,0,13.73,SA,1686240659
259,ataq,14.5377,46.8319,85.42,47,89,15.86,YE,1686240659
260,saint joseph,39.7686,-94.8466,73.0,78,75,9.22,US,1686240659
261,remire-montjoly,4.9167,-52.2667,87.84,62,75,8.05,GF,1686240556
262,tezu,27.9167,96.1667,86.18,43,6,4.16,IN,1686240659
263,happy valley-goose bay,53.3168,-60.3315,44.15,78,97,9.51,CA,1686240659
264,boa vista,2.8197,-60.6733,76.98,94,100,6.91,BR,1686240436
265,dingwall,57.5953,-4.4272,61.07,69,100,7.43,GB,1686240659
266,gornozavodsk,58.3758,58.3211,46.71,96,100,3.11,RU,1686240659
267,gloucester,51.8657,-2.2431,73.71,52,7,8.01,GB,1686240392
268,winkler,49.1817,-97.941,75.38,78,99,2.3,CA,1686240660
269,mutuali,-14.8706,37.0044,71.4,45,0,0.58,MZ,1686240660
270,usinsk,65.9939,57.5281,46.6,43,100,8.77,RU,1686240660
271,saint-joseph,-21.3667,55.6167,71.98,80,23,10.67,RE,1686240660
272,thunder bay,48.4001,-89.3168,61.72,42,92,4.63,CA,1686240659
273,gebeit,21.0667,36.3167,97.66,13,48,15.9,SD,1686240660
274,impfondo,1.6381,18.0667,83.66,65,82,3.51,CG,1686240405
275,lampa,-33.2833,-70.9,67.06,69,99,11.5,CL,1686240660
276,wanganui,-39.9333,175.05,47.14,93,25,7.14,NZ,1686240490
277,sitka,57.0531,-135.33,57.09,72,75,4.61,US,1686240660
278,polyarnyy,69.1989,33.4478,40.95,62,100,18.12,RU,1686240661
279,iwaki,37.05,140.8833,69.03,94,100,5.01,JP,1686240661
280,petropavlovsk-kamchatsky,53.0452,158.6483,44.78,70,67,4.7,RU,1686240661
281,zhukovo,55.0318,36.744,68.58,93,25,5.73,RU,1686240661
282,lloydminster,53.2835,-110.0016,72.5,60,0,5.93,CA,1686240661
283,camalu,30.85,-116.0667,62.94,73,100,6.04,MX,1686240661
284,kill devil hills,36.0307,-75.676,73.4,75,40,3.44,US,1686240661
285,kerikeri,-35.2268,173.9474,52.92,84,93,1.01,NZ,1686240625
286,val-d'or,48.1002,-77.7828,57.74,57,100,8.5,CA,1686240445
287,port lincoln,-34.7333,135.8667,57.11,58,93,20.56,AU,1686240661
288,tralee,52.2704,-9.7026,71.85,49,0,12.66,IE,1686240661
289,bei'an,24.5399,109.533,78.42,87,100,3.31,CN,1686240662
290,sao joao da barra,-21.6403,-41.0511,82.49,63,0,9.15,BR,1686240662
291,olovyannaya,50.95,115.5667,55.17,62,49,10.74,RU,1686240662
292,zhangatas,43.5667,69.75,85.78,22,4,8.32,KZ,1686240662
293,iskateley,67.6803,53.1512,44.46,69,100,7.67,RU,1686240662
294,dryden,49.7833,-92.7503,70.09,35,0,8.05,CA,1686240662
295,hede,33.7681,120.2517,71.85,71,71,10.45,CN,1686240662
296,arraial do cabo,-22.9661,-42.0278,76.86,69,20,13.8,BR,1686240662
297,newcastle west,52.4492,-9.0611,72.72,59,100,12.39,IE,1686240662
298,bintulu,3.1667,113.0333,80.51,78,83,1.83,MY,1686240663
299,prince rupert,54.3161,-130.3201,59.41,74,99,1.34,CA,1686240492
300,byron bay,-28.65,153.6167,61.72,82,55,6.49,AU,1686240581
301,quellon,-43.1167,-73.6167,48.45,87,75,14.97,CL,1686240663
302,saint martinville,30.1252,-91.8335,87.96,61,0,4.61,US,1686240663
303,lihue,21.9789,-159.3672,74.79,80,40,8.05,US,1686240609
304,schroeder,-26.4125,-49.0731,78.76,42,53,1.61,BR,1686240663
305,minas de marcona,-15.2119,-75.1103,65.16,61,5,10.96,PE,1686240663
306,inderbor,48.55,51.7833,74.93,28,53,10.16,KZ,1686240664
307,bahia de kino,28.8333,-111.9333,82.92,43,93,7.94,MX,1686240664
308,aldan,58.6031,125.3894,49.62,99,95,1.99,RU,1686240664
309,tura,25.5198,90.2201,82.09,64,86,4.47,IN,1686240664
310,anajatuba,-3.2644,-44.6197,85.15,71,93,2.91,BR,1686240664
311,bengkulu,-3.8004,102.2655,76.84,91,100,2.8,ID,1686240664
312,princeville,45.7668,-61.2985,61.54,78,40,8.05,CA,1686240664
313,lata,40.1629,-8.3327,77.49,55,69,12.5,PT,1686240664
314,scottburgh,-30.2867,30.7532,66.61,79,51,5.57,ZA,1686240664
315,san antonio de pale,-1.4014,5.6325,77.59,76,100,7.87,GQ,1686240665
316,rio grande,-32.035,-52.0986,82.51,72,95,8.21,BR,1686240665
317,victoria,22.2855,114.1577,87.21,90,94,6.62,HK,1686240612
318,pelabuhanratu,-6.9875,106.5514,77.61,90,70,2.82,ID,1686240665
319,tazacorte,28.629,-17.9293,76.17,80,20,10.36,ES,1686240665
320,mogadishu,2.0371,45.3438,79.56,85,100,17.49,SO,1686240665
321,pisco,-13.7,-76.2167,71.65,73,100,3.44,PE,1686240665
322,miracema do tocantins,-9.5618,-48.3967,92.5,35,5,8.08,BR,1686240665
323,carapan,19.8589,-102.0372,79.03,33,0,4.43,MX,1686240666
324,vadso,70.0744,29.7487,43.68,61,40,18.41,NO,1686240666
325,revda,56.801,59.9303,51.33,95,74,3.87,RU,1686240666
326,turpan,42.9333,89.1667,99.05,13,57,6.11,CN,1686240666
327,vorgashor,67.5833,63.95,40.64,53,100,10.22,RU,1686240666
328,chonchi,-42.6128,-73.8092,51.12,85,100,9.57,CL,1686240666
